HCM2017-02-02,2017-02-02,"['{""pre"": ""rain"", ""hum"": 1, ""sum"": ""Humid"", ""temp"": 75, ""icon"": ""clear-night""}']",HCM
HCM2017-02-03,2017-02-03,"['{""pre"": ""rain"", ""hum"": 1, ""sum"": ""Humid"", ""temp"": 75, ""icon"": ""clear-night""}']",HCM
HCM2017-02-04,2017-02-04,"['{""pre"": ""rain"", ""hum"": 0.82, ""sum"": ""Clear"", ""temp"": 79, ""icon"": ""clear-night""}']",HCM
HCM2017-02-05,2017-02-05,"['{""pre"": ""rain"", ""hum"": 0.82, ""sum"": ""Clear"", ""temp"": 79, ""icon"": ""clear-night""}']",HCM
HCM2017-02-06,2017-02-06,"['{""pre"": ""rain"", ""hum"": 0.94, ""sum"": ""Clear"", ""temp"": 77, ""icon"": ""clear-night""}']",HCM
HCM2017-02-07,2017-02-07,"['{""pre"": ""rain"", ""hum"": 0.82, ""sum"": ""Clear"", ""temp"": 79, ""icon"": ""clear-night""}']",HCM
HCM2017-02-08,2017-02-08,"['{""pre"": ""rain"", ""hum"": 0.85, ""sum"": ""Clear"", ""temp"": 77, ""icon"": ""clear-night""}']",HCM
HCM2017-02-09,2017-02-09,"['{""pre"": ""rain"", ""hum"": 0.88, ""sum"": ""Clear"", ""temp"": 79, ""icon"": ""clear-night""}']",HCM
HCM2017-02-10,2017-02-10,"['{""pre"": ""rain"", ""hum"": 0.88, ""sum"": ""Clear"", ""temp"": 77, ""icon"": ""clear-night""}']",HCM
HCM2017-02-11,2017-02-11,"['{""pre"": ""rain"", ""hum"": 0.84, ""sum"": ""Clear"", ""temp"": 75, ""icon"": ""clear-night""}']",HCM
HCM2017-02-12,2017-02-12,"['{""pre"": ""rain"", ""hum"": 0.58, ""sum"": ""Clear"", ""temp"": 75, ""icon"": ""clear-night""}']",HCM
HCM2017-02-13,2017-02-13,"['{""pre"": ""rain"", ""hum"": 0.54, ""sum"": ""Clear"", ""temp"": 75, ""icon"": ""clear-night""}']",HCM
HCM2017-02-14,2017-02-14,"['{""pre"": ""rain"", ""hum"": 0.79, ""sum"": ""Clear"", ""temp"": 77, ""icon"": ""clear-night""}']",HCM
